Date,Open,High,Low,Close,Volume,Adj Close
2012-02-22,136.72,137.02,136.27,136.49001,3120800,127.93508
2012-02-21,137.23,137.53,136.52,136.95,3343700,128.36624
2012-02-17,137.00,137.06,136.44,136.85001,3421400,128.27252
2012-02-16,135.05,136.64,134.81,136.52,3282700,127.9632
2012-02-15,136.11,136.44,134.77,135.07001,6286600,126.60409
2012-02-14,135.39,135.73,134.73,135.67,3426800,127.16647
2012-02-13,135.78,135.99001,135.21001,135.82001,2039300,127.30708
2012-02-10,134.64999,134.94,134.32001,134.88,2316800,126.42599
2012-02-09,135.89999,136.05,135.03999,135.82001,4540000,127.30708
2012-02-08,135.35001,135.69,134.77,135.63,2692700,127.12898
2012-02-07,134.66,135.48,134.12,135.23,2212800,126.75404
2012-02-06,134.45,134.96001,134.30,134.87,2483700,126.41661
2012-02-03,134.47,135.09,134.24001,135.03999,6106000,126.57595
2012-02-02,133.17,133.49001,132.67,133.17,4428500,124.82317
2012-02-01,132.77,133.58,132.60001,132.88,6827000,124.55135
2012-01-31,132.50,132.64,131.13,131.77,4039500,123.51092
2012-01-30,130.97,131.89999,130.50999,131.78999,4161600,123.52966
2012-01-27,131.72,132.49001,131.63,132.25,2288700,123.96083
2012-01-26,133.63,133.85001,131.82001,132.33,3386600,124.03582
2012-01-25,131.71001,133.33,131.21001,133.00999,3363600,124.67319
2012-01-24,131.28,131.95,131.06,131.91,2245500,123.64214
2012-01-23,131.98,132.70,131.44,132.03,4036200,123.75462
2012-01-20,131.67999,132.00,131.36,131.91,2370900,123.64214
2012-01-19,131.64,132.03,131.27,131.94,4398700,123.67027
2012-01-18,129.78999,131.28,129.53999,131.20,2969700,122.97664
2012-01-17,130.53,130.75999,129.50999,129.75,3309600,121.61752
2012-01-13,129.05,129.50,128.17,129.50,4881200,121.38319
2012-01-12,130.02,130.14999,128.99001,130.00,5764200,121.85185
2012-01-11,129.21001,129.83,128.98,129.69,2978000,121.56129
2012-01-10,129.82001,130.10001,129.41,129.59,4025500,121.46755
2012-01-09,128.47,128.64,127.85,128.42999,3002500,120.38025
2012-01-06,128.62,128.64999,127.74,128.27,2787300,120.23029
2012-01-05,127.47,128.67999,126.88,128.55,3389700,120.49274
2012-01-04,127.66,128.25999,127.15,128.13,2542500,120.09907
2012-01-03,128.23,128.82001,127.87,128.02,7948100,119.99596
2011-12-30,126.45,126.76,125.96,125.96,2177300,118.06507
2011-12-29,125.69,128.05,125.62,126.54,1470500,118.60872
2011-12-28,126.93,126.97,125.17,125.35,2126200,117.49331
2011-12-27,126.62,127.25,126.49,126.88,2287700,118.92741
2011-12-23,126.14,126.86,125.86,126.80,2041600,118.85242
2011-12-22,125.01,125.81,124.78,125.80,2249200,117.91511
2011-12-21,125.05,125.56,123.92,125.32,4692700,116.74345
2011-12-20,123.34,125.31,123.34,125.12,5738100,116.55714
2011-12-19,123.23,123.50,121.20,121.48,4096100,113.16626
2011-12-16,123.43,124.12,122.48,122.78,6701800,114.37728
2011-12-15,123.48,123.60,122.40,122.59,5157900,114.20029
2011-12-14,123.02,123.43,121.88,122.13,3879700,113.77177
2011-12-13,125.32,125.99,122.88,123.49,4534400,115.0387
2011-12-12,125.37,125.40,123.60,124.64,2895600,116.10999
2011-12-09,124.93,126.79,124.83,126.46,2608800,117.80544
2011-12-08,126.29,126.60,124.08,124.41,3763300,115.89574
2011-12-07,126.27,127.68,125.41,127.10,4539300,118.40163
2011-12-06,126.63,127.54,126.20,126.70,3054600,118.02901
2011-12-05,127.29,127.61,125.89,126.63,5694700,117.9638
2011-12-02,126.55,126.93,125.19,125.34,4746100,116.76208
